"time","V","i_L","der(V)","der(i_L)","i_C","i_R"
0.5600000000000001,23.92849041051371,0.1935476955668317,-45.7372085383054,0.07150958948628627,-0.0457372085383054,0.2392849041051371
0.5620000000000001,23.83812733636154,0.1937814670310748,-44.59980633254065,0.1618726636384551,-0.04459980633254065,0.2383812733636154
0.5639999999999999,23.75019453331848,0.1941935875952427,-43.30835773794203,0.2498054666815221,-0.04330835773794203,0.2375019453331848
0.5659999999999999,23.66499183582947,0.1947788892820205,-41.87102907627424,0.335008164170528,-0.04187102907627424,0.2366499183582947
0.5679999999999999,23.58280264737488,0.1955316298684056,-40.29639660534315,0.41719735262512,-0.04029639660534315,0.2358280264737488
0.57,23.50389254355056,0.1964455103184136,-38.59341511709205,0.4961074564494368,-0.03859341511709205,0.2350389254355056
0.572,23.42850908089212,0.1975137240415216,-36.77136676739951,0.5714909191078839,-0.0367713667673995,0.2342850908089212
0.574,23.35688083621636,0.1987289851262551,-34.8398232359085,0.6431191637836378,-0.03483982323590851,0.2335688083621636
0.576,23.28921696732569,0.2000835701075027,-32.80859956575419,0.7107830326743141,-0.03280859956575419,0.2328921696732568
0.578,23.22570699429057,0.2015693593213875,-30.68771062151823,0.7742930057094277,-0.03068771062151823,0.2322570699429057
0.58,23.16651990894538,0.2031778702304382,-28.48732885901553,0.8334800910546249,-0.02848732885901553,0.2316651990894537
0.582,23.11180459273779,0.2049003066153618,-26.21773931201601,0.8881954072622129,-0.02621773931201601,0.2311180459273779
0.584,23.06168897917557,0.2067275922318204,-23.88929755993532,0.9383110208244254,-0.02388929755993532,0.2306168897917557
0.586,23.01628046521772,0.2086504175858047,-21.51238706637246,0.9837195347822849,-0.02151238706637246,0.2301628046521771
0.588,22.97566561026804,0.2106592781951542,-19.09737790752619,1.024334389731962,-0.01909737790752619,0.2297566561026804
0.59,22.93991020810548,0.2127445175491084,-16.65458453194638,1.060089791894519,-0.01665458453194638,0.2293991020810548
0.592,22.90905973081101,0.2148963678482206,-14.19422945988949,1.090940269188987,-0.01419422945988949,0.2290905973081101
0.594,22.8831390175849,0.2171049912415977,-11.72639893425134,1.116860982415098,-0.01172639893425134,0.228831390175849
0.596,22.86215321130843,0.2193605194207529,-9.261012692331427,1.137846788691572,-0.009261012692331427,0.2286215321130843
0.598,22.84608756943899,0.2216530944668176,-6.807781227572251,1.153912430561011,-0.006807781227572252,0.2284608756943899
0.6,22.83490831338711,0.2239729066153789,-4.376176518492175,1.16509168661289,-0.004376176518492175,0.2283490831338711
0.602,22.82856296701152,0.226310231996032,-1.975397674083279,1.171437032988475,-0.001975397674083279,0.2282856296701153
0.604,22.82698084969219,0.2286554717660705,0.3856632691486284,1.173019150307812,0.0003856632691486284,0.2282698084969219
0.606,22.83007402326106,0.2309991826661592,2.698442433548581,1.169925976738938,0.002698442433548581,0.2283007402326106
0.608,22.83773753749766,0.2333321185745741,4.954743199597488,1.162262462502344,0.004954743199597489,0.2283773753749766
0.61,22.84985065135923,0.2356452550561354,7.14674854254313,1.150149348640774,0.00714674854254313,0.2284985065135923
0.612,22.86627723572998,0.2379298279247798,9.267055567480003,1.133722764270019,0.009267055567480004,0.2286627723572998
0.614,22.88686686367838,0.2401773582215877,11.30868958480391,1.113133136321622,0.01130868958480391,0.2288686686367838
0.616,22.91145562086112,0.242379680114259,13.26512390564785,1.088544379138881,0.01326512390564785,0.2291145562086112
0.618,22.93986692070924,0.2445289718708343,15.13030266374188,1.060133079290761,0.01513030266374188,0.2293986692070924
0.62,22.9719128431436,0.2466177603197491,16.89863188831312,1.028087156856405,0.01689863188831311,0.229719128431436
0.622,23.00739464493973,0.2486389671744283,18.56502072503097,0.9926053550602703,0.01856502072503097,0.2300739464493973
0.624,23.04610391073494,0.2505859227385376,20.12488363118822,0.9538960892650579,0.02012488363118822,0.2304610391073494
0.626,23.08782340846197,0.2524523851382404,21.5741510536207,0.912176591538028,0.0215741510536207,0.2308782340846197
0.628,23.13232804784188,0.2542325701645019,22.90928968608311,0.8676719521581191,0.02290928968608311,0.2313232804784188
0.63,23.17938582336494,0.2559211777158479,24.12731948219859,0.8206141766350648,0.02412731948219859,0.2317938582336493
0.632,23.22876009459085,0.2575133088630625,25.22570791715398,0.7712399054091534,0.02522570791715398,0.2322876009459085
0.634,23.28021016839934,0.2590045179157545,26.20241623176117,0.7197898316006643,0.02620241623176117,0.2328021016839933
0.636,23.33349065463435,0.2603909540306852,27.05604748434165,0.6665093453656468,0.02705604748434165,0.2333349065463435
0.638,23.38835424706124,0.2616692010185316,27.7856585479192,0.611645752938756,0.0277856585479192,0.2338835424706124
0.64,23.4445522885429,0.2628363039179624,28.3907810325334,0.5554477114571021,0.0283907810325334,0.234445522885429
0.642,23.5018357772773,0.2638899087357865,28.87155096301353,0.4981642227227034,0.02887155096301353,0.235018357772773
0.644,23.55995638035317,0.264828109438752,29.2285456352202,0.4400436196468256,0.0292285456352202,0.2355995638035318
